OBJECTID *,ID_EXPLORACION,ID_ESTUDIO,ID_FUENTE,NO_ESTUDIO,NO_EXPLORACION,CLASE_EXPLORACION,TIPO_EXPLORACION,PROF_EXPLORACION__m_,NIVEL_FREATICO__m_,EQUIPO_UTILIZADO,FECHA,NO_REFERENCIA,REF_SECTOR,REF_UBICACION,ESTE,NORTE,COD,Shape *,X_wgs_1,Y_wgs_1,X_wgs,Y_wgs,,
1,UPT1P1,UPT1,UPT,1,1,P,PERFORACION,20,<Null>,<Null>,<Null>,PERFORACION 1,NORTE,COLEGIO GIMNASIO CAMPESTRE DEL NORTE,4962959.605,2173202.202,1,Point,-73.334572,5.567437,-73.334572,5.567437,,
2,UPT1P2,UPT1,UPT,1,2,P,PERFORACION,20,<Null>,<Null>,<Null>,PERFORACION 2,NORTE,BARRIO ALCALA REAL,4963124.783,2173925.274,2,Point,-73.333084,5.573981,-73.333084,5.573981,,
3,UPT1P3,UPT1,UPT,1,3,P,PERFORACION,20,<Null>,<Null>,<Null>,PERFORACION 3,NORTE,BARRIO COOMPES,4962170.482,2173856.078,3,Point,-73.341703,5.57335,-73.341703,5.57335,,
4,UPT1P4,UPT1,UPT,1,4,P,PERFORACION,27,<Null>,<Null>,<Null>,PERFORACION 4,NORTE,COLEGIO CRISTO REY,4962488.281,2172801.409,4,Point,-73.338827,5.563807,-73.338827,5.563807,,
5,UPT1P5,UPT1,UPT,1,5,P,PERFORACION,25,<Null>,<Null>,<Null>,PERFORACION 5,CENTRO,HOSPITAL SAN RAFAEL,4960058.611,2170187.084,5,Point,-73.360758,5.540135,-73.360758,5.540135,,
6,UPT1P6,UPT1,UPT,1,6,P,PERFORACION,35,<Null>,<Null>,<Null>,PERFORACION 6,NORTE,PLAZA NORTE,4961751.658,2172659.875,6,Point,-73.34548,5.562522,-73.34548,5.562522,,
7,UPT1P7,UPT1,UPT,1,7,P,PERFORACION,40,<Null>,<Null>,<Null>,PERFORACION 7,NORTE,LAS QUINTAS,4961461.964,2171593.323,7,Point,-73.348091,5.552869,-73.348091,5.552869,,
8,UPT1P9,UPT1,UPT,1,9,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION 9,ORIENTE,AEROPUERTO,4962390.128,2171025.123,8,Point,-73.339704,5.547731,-73.339704,5.547731,,
9,UPT1P10,UPT1,UPT,1,10,P,PERFORACION,45,<Null>,<Null>,<Null>,PERFORACION 10,CENTRO,MESOPOTAMIA,4961136.835,2170819.581,9,Point,-73.351023,5.545864,-73.351023,5.545864,,
10,UPT1P11,UPT1,UPT,1,11,P,PERFORACION,21,<Null>,<Null>,<Null>,PERFORACION 11,CENTRO,UNIVERSIDAD ANTONIO NARIÑO,4960486.978,2169489.904,10,Point,-73.356886,5.533828,-73.356886,5.533828,,
